@relation OPENJPA_trainingSet2-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Age numeric
@attribute 'Revision number' numeric
@attribute 'Fix number' numeric
@attribute 'Author Number' numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute Buggyness {no,yes}

@data
137,411,17,5,0,2,274,133,54.8,137,133,no
258,830,17,5,0,2,544,242,108.8,282,242,no
74,242,17,4,0,1,158,71,39.5,74,71,no
87,253,17,4,0,1,170,81,42.5,87,81,no
32,90,17,4,0,1,61,28,15.25,32,28,no
232,672,17,4,0,1,452,216,113,232,216,no
145,423,17,4,0,1,284,137,71,145,137,no
242,738,17,7,0,2,490,226,70,254,226,no
592,1833,17,10,0,4,1213,563,121.3,643,563,yes
333,1045,17,6,0,2,689,307,114.833333,377,307,no
216,700,17,5,0,1,458,211,91.6,242,211,no
62,194,17,4,0,1,128,58,32,62,58,no
30,88,17,4,0,1,59,27,14.75,30,27,no
135,445,17,5,0,1,290,130,58,143,130,no
672,2036,17,8,0,2,1354,644,169.25,700,644,no
465,1337,17,5,0,2,901,432,180.2,465,432,no
64,186,17,4,0,1,125,58,31.25,64,58,no
49,149,17,4,0,1,99,45,24.75,49,45,no
30,88,17,4,0,1,59,27,14.75,30,27,no
173,535,17,5,0,1,354,160,70.8,183,160,no
79,243,17,4,0,1,161,74,40.25,83,74,no
56,170,17,5,0,1,113,52,22.6,58,52,no
36,108,17,4,0,1,72,32,18,36,32,no
46,130,17,4,0,1,88,41,22,46,41,no
48,136,17,4,0,1,92,43,23,48,43,no
1455,4223,17,7,0,2,2839,1336,405.571429,1475,1336,no
529,1589,17,7,0,2,1059,492,151.285714,547,492,no
138,416,17,4,0,1,277,135,69.25,138,135,no
529,1545,17,5,0,1,1037,498,207.4,531,498,no
72,216,17,4,0,1,144,69,36,72,69,no
24,68,17,4,0,1,46,20,11.5,24,20,no
72,216,17,4,0,1,144,69,36,72,69,no
1067,3365,17,9,0,4,2216,1024,246.222222,1117,1024,no
3525,10499,17,17,0,4,7012,3202,412.470588,3637,3202,no
254,796,17,5,0,2,525,247,105,260,247,no
91,267,17,4,0,1,179,87,44.75,91,87,no
281,845,17,4,0,1,563,277,140.75,283,277,no
81,241,17,4,0,1,161,77,40.25,81,77,no
67,197,17,4,0,1,132,63,33,67,63,no
70,214,17,4,0,1,142,67,35.5,70,67,no
34,100,17,4,0,1,67,31,16.75,34,31,no
69,205,17,5,0,1,137,63,27.4,71,63,no
33,99,17,4,0,1,66,30,16.5,33,30,no
