@relation BOOKKEEPER_trainingSet6-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Age numeric
@attribute 'Revision number' numeric
@attribute 'Fix number' numeric
@attribute 'Author Number' numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute Buggyness {no,yes}

@data
74,0,11,0,0,0,0,0,0,0,0,no
36,36,11,1,0,1,36,36,36,36,36,no
37,0,11,0,0,0,0,0,0,0,0,no
38,0,11,0,0,0,0,0,0,0,0,no
39,0,11,0,0,0,0,0,0,0,0,no
96,0,11,0,0,0,0,0,0,0,0,yes
88,0,11,0,0,0,0,0,0,0,0,no
71,0,11,0,0,0,0,0,0,0,0,no
114,28,11,1,0,1,14,14,14,0,0,no
342,78,11,1,0,1,42,42,42,6,6,yes
84,0,11,0,0,0,0,0,0,0,0,no
58,0,11,0,0,0,0,0,0,0,0,no
129,8,11,1,1,1,7,7,7,6,6,no
363,16,11,1,1,1,5,5,5,6,6,yes
242,13,11,1,1,1,12,12,12,11,11,yes
682,144,11,4,1,1,120,36,30,96,37,yes
366,2,11,1,0,1,1,1,1,0,0,yes
103,6,11,1,1,1,5,5,5,4,4,yes
41,0,11,0,0,0,0,0,0,0,0,no
66,0,11,0,0,0,0,0,0,0,0,no
63,9,11,1,0,1,9,9,9,9,9,no
47,0,11,0,0,0,0,0,0,0,0,no
183,0,11,0,0,0,0,0,0,0,0,no
49,0,11,0,0,0,0,0,0,0,0,no
50,0,11,0,0,0,0,0,0,0,0,no
98,0,11,0,0,0,0,0,0,0,0,no
143,5,11,1,0,1,5,5,5,5,5,no
43,0,11,0,0,0,0,0,0,0,0,no
42,0,11,0,0,0,0,0,0,0,0,no
56,6,11,1,0,1,3,3,3,0,0,no
162,0,11,0,0,0,0,0,0,0,0,yes
6523,12852,11,1,0,1,6504,6504,6504,156,156,yes
153,0,11,0,0,0,0,0,0,0,0,no
43,2,11,1,0,1,1,1,1,0,0,no
41,0,11,0,0,0,0,0,0,0,0,no
400,414,11,3,0,2,407,397,135.666667,400,397,yes
425,431,11,2,0,1,428,424,214,425,424,yes
1041,1073,11,2,0,1,1057,1029,528.5,1041,1029,yes
92,92,11,1,0,1,92,92,92,92,92,no
355,359,11,2,0,1,357,357,178.5,359,357,yes
105,0,11,0,0,0,0,0,0,0,0,yes
105,0,11,0,0,0,0,0,0,0,0,yes
